1093,0:0:0,0,F,LAUNCH_PAD,1.26,23.9,99128.5,11.68,0.26,0.1,-0.1,0.3,10.42,0.00,26.04,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,1,F,LAUNCH_PAD,1.04,23.8,99131.2,11.68,0.18,-0.1,0.0,0.1,-5.21,-15.63,10.42,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,2,F,LAUNCH_PAD,1.07,23.8,99130.8,11.68,0.24,-0.1,0.1,-0.1,-5.68,5.68,-28.41,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,3,F,LAUNCH_PAD,1.04,23.9,99131.2,11.66,0.21,0.1,-0.2,0.1,17.05,5.68,5.68,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,4,F,LAUNCH_PAD,1.02,23.8,99131.4,11.67,0.20,0.0,-0.1,0.1,0.00,0.00,0.00,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,5,F,LAUNCH_PAD,1.06,23.8,99130.9,11.68,0.20,-0.1,-0.2,-0.1,-10.42,0.00,-15.63,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,6,F,LAUNCH_PAD,0.98,23.8,99131.8,11.69,0.23,0.0,-0.1,-0.1,-1.79,-7.14,0.00,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,7,F,LAUNCH_PAD,1.06,23.8,99130.9,11.68,0.21,-0.1,0.1,0.1,5.68,0.00,5.68,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,8,F,LAUNCH_PAD,1.17,23.9,99129.6,11.66,0.23,0.0,-0.1,0.1,5.68,17.05,11.36,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,9,F,LAUNCH_PAD,1.19,23.9,99129.4,11.64,0.30,0.1,0.1,-0.1,0.00,0.00,0.00,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,10,F,LAUNCH_PAD,1.18,23.9,99129.5,11.68,0.25,0.1,0.1,-0.1,-17.05,0.00,0.00,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,11,F,LAUNCH_PAD,1.09,23.9,99130.5,11.68,0.17,0.1,0.0,0.0,11.36,-5.68,-17.05,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,12,F,LAUNCH_PAD,1.27,23.9,99128.4,11.68,0.21,0.1,0.2,0.1,5.68,22.73,0.00,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,13,F,LAUNCH_PAD,1.10,23.9,99130.4,11.66,0.24,-0.1,-0.1,-0.1,0.00,-17.05,5.68,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
